state	votetrump	age	female	collegeed	famincr	ideo	pid7na	bornagain	religimp	churchatd	prayerfreq	angryracism	whiteadv	fearraces	racerare
Wisconsin	0	72	0	0	2	NA	Indep.	0	1	2	1	Agree	Agree	NA/ND	Disagree
Ohio	1	50	1	0	8	3	Not Strong D	0	4	2	5	NA/ND	Strongly Disagree	Disagree	Disagree
Pennsylvania	0	64	0	0	5	3	Strong D	0	1	1	1	Strongly Agree	NA/ND	Disagree	Disagree
Ohio	NA	58	0	0	1	2	Ind. Lean D	0	2	1	NA	Agree	NA/ND	Strongly Disagree	NA/ND
Ohio	1	67	1	0	6	4	Indep.	0	4	1	7	Strongly Agree	Disagree	NA/ND	Disagree
Illinois	1	58	1	1	NA	5	Strong R	1	4	6	7	Strongly Agree	Disagree	Disagree	Disagree
Wisconsin	1	57	1	1	11	5	Strong R	0	4	5	7	Agree	Agree	Disagree	Strongly Disagree
Michigan	0	64	1	1	5	2	Strong D	0	2	2	5	Strongly Agree	Agree	Strongly Disagree	Disagree
Ohio	0	29	1	1	4	2	Strong D	0	1	3	6	Strongly Agree	Agree	Disagree	Strongly Disagree
Illinois	0	21	0	0	NA	3	Not Strong R	0	1	1	1	Agree	NA/ND	NA/ND	Disagree
Iowa	0	40	1	1	12	2	Strong D	0	4	5	6	Strongly Agree	Strongly Agree	Disagree	Disagree
Pennsylvania	1	34	0	0	9	2	Not Strong D	1	4	2	6	Agree	Strongly Disagree	Agree	Disagree
Pennsylvania	0	31	0	1	7	2	Strong D	1	4	5	5	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Michigan	0	84	1	0	3	3	Strong D	0	4	5	7	Strongly Agree	NA/ND	NA/ND	Strongly Disagree
Ohio	1	84	0	0	4	4	Not Strong R	0	3	5	2	Agree	Strongly Disagree	Disagree	Agree
Pennsylvania	1	57	0	1	11	5	Strong R	0	4	5	7	Strongly Agree	Agree	NA/ND	Agree
Illinois	0	56	0	1	NA	1	Indep.	0	3	3	6	Disagree	Agree	Disagree	Disagree
Ohio	0	65	1	0	3	5	Indep.	0	2	1	1	Agree	Disagree	NA/ND	NA/ND
Illinois	0	79	1	0	3	1	Strong D	0	2	2	2	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Illinois	0	69	0	1	6	3	Ind. Lean R	0	1	2	2	Strongly Agree	Strongly Agree	Disagree	Strongly Disagree
Minnesota	0	43	1	1	8	2	Strong D	0	1	1	1	Strongly Agree	Strongly Agree	Strongly Disagree	Disagree
Ohio	1	47	1	0	6	3	Indep.	0	4	4	7	Disagree	Strongly Disagree	Strongly Disagree	Strongly Agree
Illinois	0	47	1	1	NA	2	Not Strong D	0	2	2	6	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Illinois	1	50	1	1	9	4	Strong R	0	4	6	7	Agree	Disagree	Disagree	Strongly Disagree
Michigan	0	59	0	0	4	5	Indep.	0	1	1	1	Strongly Agree	NA/ND	Strongly Disagree	NA/ND
Pennsylvania	0	76	0	0	7	3	Ind. Lean D	1	2	5	6	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Pennsylvania	0	73	0	1	9	3	Ind. Lean D	0	2	1	1	Strongly Agree	Agree	NA/ND	Strongly Disagree
Ohio	0	64	0	1	10	2	Strong D	0	2	2	2	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Iowa	1	62	0	1	10	4	Strong R	0	4	4	5	Agree	Disagree	Agree	Agree
Michigan	0	73	0	0	2	2	Strong D	0	3	2	7	Strongly Agree	Strongly Agree	Disagree	Strongly Disagree
Wisconsin	1	74	1	0	3	4	Indep.	0	4	2	6	Strongly Agree	Strongly Disagree	Disagree	Strongly Disagree
Pennsylvania	0	80	0	0	5	3	Indep.	0	4	5	6	Agree	Agree	NA/ND	Disagree
Minnesota	0	48	0	0	12	2	Not Strong D	0	3	3	6	Strongly Agree	Strongly Agree	Strongly Disagree	Disagree
Iowa	1	54	1	1	10	4	Not Strong R	0	3	3	2	Strongly Agree	Agree	Agree	Strongly Disagree
Wisconsin	0	33	1	1	11	1	Strong D	0	1	1	1	Strongly Agree	Strongly Agree	Disagree	Strongly Disagree
Ohio	1	80	0	0	9	3	Indep.	0	4	2	6	Agree	NA/ND	Agree	Strongly Disagree
Ohio	1	52	1	0	6	3	Not Strong R	0	3	2	7	Strongly Agree	Agree	Strongly Disagree	Disagree
Wisconsin	0	36	1	1	6	2	Strong D	0	1	1	1	Strongly Agree	NA/ND	NA/ND	Strongly Disagree
Pennsylvania	NA	72	0	0	5	4	Not Strong D	0	2	2	3	Agree	Strongly Disagree	Disagree	Agree
Pennsylvania	1	64	1	1	NA	4	Not Strong R	0	3	2	3	Agree	Disagree	Strongly Disagree	Agree
Illinois	0	47	1	1	8	3	Not Strong D	0	1	1	5	Agree	Agree	NA/ND	NA/ND
Pennsylvania	0	60	1	1	8	2	Indep.	0	1	2	1	NA/ND	Strongly Agree	Disagree	Strongly Disagree
Ohio	0	67	1	0	4	1	Strong D	1	4	5	7	Strongly Agree	Strongly Agree	Disagree	Agree
Wisconsin	0	73	1	1	4	2	Strong D	0	1	1	2	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Michigan	0	45	1	1	8	2	Strong D	0	2	2	3	Strongly Agree	Strongly Agree	Disagree	Disagree
Pennsylvania	1	60	1	1	12	3	Indep.	0	3	3	5	NA/ND	Strongly Disagree	Agree	Strongly Agree
Ohio	1	59	0	0	9	4	Strong R	0	3	3	3	Agree	Agree	Agree	Strongly Disagree
Michigan	0	63	0	0	6	1	Ind. Lean D	0	2	2	1	Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Illinois	0	27	0	1	NA	2	Strong D	0	1	2	1	Strongly Agree	Strongly Agree	NA/ND	Disagree
Pennsylvania	0	59	0	1	2	2	Strong D	0	2	1	1	Strongly Agree	Agree	Strongly Disagree	Disagree
Illinois	0	62	0	1	7	3	Strong D	1	4	5	7	Agree	Agree	NA/ND	Disagree
Indiana	0	73	0	0	3	2	Not Strong D	0	1	2	2	Strongly Agree	Agree	NA/ND	Disagree
Wisconsin	1	60	0	0	10	3	Indep.	1	4	2	NA	NA/ND	NA/ND	NA/ND	Agree
Ohio	1	60	0	1	8	4	Indep.	0	3	2	5	Strongly Agree	Disagree	Disagree	NA/ND
Ohio	0	80	0	0	10	3	Indep.	0	3	4	2	Strongly Agree	Strongly Agree	NA/ND	Disagree
Iowa	0	52	1	1	9	1	Ind. Lean D	0	1	1	NA	Strongly Agree	Strongly Agree	Disagree	Strongly Disagree
Wisconsin	1	62	1	1	7	3	Indep.	1	4	5	7	Strongly Agree	Strongly Disagree	Disagree	Disagree
Wisconsin	1	79	1	0	3	3	Ind. Lean R	0	3	3	7	Strongly Agree	Agree	NA/ND	Agree
Wisconsin	1	70	1	0	4	4	Not Strong R	1	3	2	NA	Agree	NA/ND	NA/ND	Agree
Michigan	1	63	0	0	5	4	Strong R	1	4	5	7	Strongly Agree	Strongly Disagree	NA/ND	NA/ND
Illinois	0	49	0	1	NA	5	Strong R	0	4	6	7	NA/ND	NA/ND	Strongly Disagree	Disagree
Indiana	1	61	0	1	NA	5	Strong R	1	4	3	7	NA/ND	Strongly Disagree	Disagree	NA/ND
Ohio	0	46	0	1	4	2	Not Strong D	0	2	4	5	Strongly Agree	Agree	NA/ND	Disagree
Pennsylvania	0	61	0	1	3	2	Strong D	0	4	1	5	Strongly Agree	NA/ND	NA/ND	Strongly Disagree
Indiana	0	67	0	0	4	1	Strong D	0	1	1	1	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Pennsylvania	1	44	0	1	6	5	Strong R	0	2	2	3	Strongly Agree	Strongly Disagree	Disagree	Agree
Indiana	0	69	1	1	8	3	Not Strong R	1	4	5	7	Strongly Agree	Agree	Disagree	Disagree
Ohio	0	53	0	1	11	2	Strong D	0	2	3	2	Strongly Agree	Agree	Strongly Disagree	Disagree
Illinois	0	41	1	1	4	3	Ind. Lean D	0	3	5	6	NA/ND	NA/ND	NA/ND	Disagree
Indiana	0	73	1	1	3	2	Strong D	0	3	3	6	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Michigan	0	36	0	1	5	1	Ind. Lean D	1	4	5	7	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Minnesota	1	38	1	0	6	3	Indep.	0	4	6	7	NA/ND	Strongly Disagree	Strongly Disagree	Agree
Pennsylvania	1	72	0	0	4	4	Strong R	1	4	5	6	NA/ND	Disagree	Strongly Disagree	NA/ND
Michigan	0	57	1	1	12	2	Not Strong D	0	2	2	2	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Illinois	0	45	1	1	NA	2	Strong D	0	1	2	2	Strongly Agree	Agree	Strongly Disagree	Disagree
Pennsylvania	1	64	1	1	7	4	Ind. Lean R	0	3	2	6	NA/ND	Disagree	NA/ND	Agree
Illinois	1	39	1	1	6	3	Indep.	0	4	5	7	Agree	Disagree	Strongly Disagree	NA/ND
Illinois	1	64	0	0	12	4	Strong R	0	1	1	2	Strongly Disagree	Strongly Disagree	NA/ND	Agree
Indiana	0	54	0	1	11	3	Indep.	0	1	1	1	NA/ND	Strongly Agree	Disagree	Disagree
Pennsylvania	1	81	0	0	3	5	Ind. Lean R	0	4	2	6	Strongly Agree	NA/ND	Disagree	Strongly Disagree
Michigan	1	65	0	0	6	4	Not Strong R	0	1	1	1	Agree	Disagree	Agree	Agree
Illinois	0	71	0	0	8	1	Strong D	0	2	1	1	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Ohio	0	56	0	1	1	3	Ind. Lean D	0	4	6	7	Strongly Agree	NA/ND	Strongly Disagree	Strongly Disagree
Minnesota	1	62	0	1	11	4	Ind. Lean R	1	3	4	3	Agree	Agree	Strongly Disagree	Agree
Ohio	1	51	1	0	NA	5	Strong R	1	4	6	7	NA/ND	Strongly Disagree	Agree	Disagree
Pennsylvania	1	68	1	0	5	3	Not Strong R	0	4	3	6	Agree	Strongly Agree	Strongly Agree	Strongly Disagree
Wisconsin	1	77	1	0	3	3	Strong D	0	3	3	5	Strongly Disagree	Strongly Disagree	Disagree	NA/ND
Ohio	0	49	0	1	9	2	Strong D	0	1	1	1	Agree	Agree	NA/ND	Disagree
Illinois	1	50	0	1	7	3	Ind. Lean R	0	4	5	7	Agree	Disagree	Disagree	Disagree
Minnesota	1	45	1	1	8	5	Strong R	0	1	1	2	NA/ND	Strongly Disagree	Disagree	Agree
Minnesota	0	52	0	0	9	3	Indep.	1	4	4	6	Agree	Agree	Strongly Disagree	Disagree
Wisconsin	1	54	0	0	12	4	Not Strong R	0	1	2	1	Strongly Disagree	Strongly Disagree	Strongly Disagree	Strongly Agree
Ohio	0	51	0	0	3	2	Ind. Lean D	0	3	4	3	Strongly Agree	Strongly Agree	NA/ND	Strongly Disagree
Minnesota	1	26	1	0	4	5	Strong R	1	4	4	7	Agree	Agree	Disagree	Disagree
Michigan	NA	54	1	0	2	5	Ind. Lean R	0	4	6	7	NA/ND	Strongly Disagree	Strongly Disagree	Strongly Agree
Illinois	1	76	1	0	8	4	Ind. Lean R	0	4	3	5	Agree	Agree	Strongly Disagree	Agree
Minnesota	0	24	1	1	6	2	Not Strong D	0	1	2	1	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Minnesota	1	50	0	1	8	4	Not Strong R	1	4	5	5	NA/ND	Disagree	Strongly Disagree	Agree
Indiana	0	50	0	0	6	1	Strong D	0	2	2	3	NA/ND	Agree	Disagree	Disagree
Ohio	NA	28	1	1	5	3	Strong R	0	3	2	7	Disagree	Agree	NA/ND	Disagree
Ohio	1	72	0	0	6	3	Indep.	0	3	2	6	Agree	NA/ND	Disagree	NA/ND
Indiana	1	61	1	0	3	3	Ind. Lean R	0	1	1	1	Strongly Agree	Disagree	Agree	Disagree
Pennsylvania	1	69	0	0	9	4	Strong R	1	4	6	7	NA/ND	Strongly Disagree	Strongly Disagree	NA/ND
Illinois	0	26	1	1	4	1	Ind. Lean D	0	1	1	1	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Illinois	1	49	1	0	4	3	Strong R	0	1	1	1	Strongly Agree	Disagree	NA/ND	Disagree
Michigan	0	48	1	0	NA	3	Ind. Lean R	0	1	1	1	NA/ND	Agree	Agree	Disagree
Ohio	0	63	1	1	10	2	Strong D	0	2	3	3	NA/ND	Agree	Strongly Disagree	Disagree
Ohio	1	64	0	0	7	4	Not Strong R	0	3	1	6	NA/ND	NA/ND	Agree	NA/ND
Ohio	0	50	0	1	6	2	Strong D	0	1	2	1	Agree	Strongly Agree	Agree	Strongly Disagree
Iowa	0	52	1	1	NA	2	Strong D	0	2	4	2	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Pennsylvania	1	83	1	0	4	4	Strong R	0	4	5	7	Strongly Agree	Strongly Disagree	Strongly Disagree	Agree
Pennsylvania	1	58	0	1	NA	3	Strong R	0	3	5	5	Strongly Agree	NA/ND	Strongly Disagree	Agree
Michigan	NA	57	1	0	NA	3	NA	1	3	5	7	NA/ND	Agree	NA/ND	Strongly Disagree
Indiana	0	67	0	0	NA	2	Strong D	0	4	2	7	Strongly Agree	NA/ND	Disagree	Strongly Disagree
Michigan	0	71	1	0	2	4	Ind. Lean R	1	4	5	7	Strongly Agree	NA/ND	Strongly Disagree	Agree
Pennsylvania	0	52	0	0	3	2	Strong D	0	1	1	1	Strongly Agree	Strongly Agree	NA/ND	Strongly Disagree
Indiana	0	51	0	1	11	2	Ind. Lean D	0	1	1	1	Strongly Agree	Strongly Agree	Disagree	Strongly Disagree
Ohio	NA	67	1	0	4	3	Strong D	0	3	1	4	NA/ND	Strongly Disagree	Strongly Disagree	NA/ND
Ohio	0	53	1	1	12	3	NA	0	3	3	5	Agree	Disagree	Disagree	Disagree
Wisconsin	0	24	1	0	10	1	Strong D	0	1	2	1	Strongly Agree	Strongly Agree	Disagree	Strongly Disagree
Minnesota	0	60	0	1	10	2	Ind. Lean D	0	2	1	2	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Illinois	0	70	0	0	12	1	Strong D	0	1	1	1	Strongly Agree	Strongly Agree	NA/ND	Strongly Disagree
Minnesota	NA	59	0	1	11	4	Ind. Lean D	0	1	1	7	Strongly Agree	Agree	Strongly Disagree	Disagree
Ohio	0	56	0	1	NA	3	Indep.	0	2	3	2	Strongly Agree	NA/ND	NA/ND	Disagree
Wisconsin	0	64	0	0	7	3	Ind. Lean D	0	4	4	7	Strongly Agree	Agree	Disagree	NA/ND
Illinois	0	48	1	1	NA	3	Not Strong D	0	2	2	6	Agree	Agree	Disagree	NA/ND
Indiana	0	74	1	0	4	1	Strong D	1	3	3	7	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Pennsylvania	0	74	0	0	4	1	Strong D	0	1	1	1	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Indiana	1	57	0	0	7	NA	Not Strong R	1	4	5	7	Agree	NA/ND	Agree	Strongly Disagree
Wisconsin	NA	23	0	0	10	1	Ind. Lean D	0	1	1	1	Strongly Agree	Agree	Disagree	NA/ND
Ohio	1	25	0	0	8	NA	Not Strong R	0	2	2	2	Strongly Agree	Strongly Disagree	Disagree	Agree
Minnesota	0	57	1	0	9	4	Indep.	0	3	5	6	Agree	Agree	Disagree	NA/ND
Pennsylvania	1	47	1	0	2	3	Ind. Lean R	0	3	1	7	Agree	Strongly Disagree	NA/ND	Strongly Disagree
Iowa	0	47	0	1	10	3	Indep.	0	4	4	5	Agree	Strongly Agree	Disagree	Strongly Disagree
Wisconsin	1	54	0	1	11	4	Ind. Lean R	0	4	5	5	Agree	Strongly Disagree	Disagree	Agree
Pennsylvania	0	65	0	0	7	3	Ind. Lean D	0	3	2	5	Strongly Agree	Strongly Agree	NA/ND	Strongly Disagree
Ohio	0	32	1	1	6	2	Strong D	0	1	1	1	Agree	Agree	Disagree	Disagree
Wisconsin	0	78	0	0	NA	4	Strong D	0	2	2	2	Agree	Agree	NA/ND	NA/ND
Indiana	0	68	0	0	7	2	Not Strong D	0	3	1	2	Strongly Agree	Strongly Agree	NA/ND	Disagree
Wisconsin	1	32	1	0	6	4	Not Strong R	0	4	3	5	NA/ND	Strongly Disagree	Agree	Agree
Ohio	1	57	0	1	9	4	Not Strong R	0	4	4	5	Strongly Agree	Disagree	NA/ND	Disagree
Wisconsin	NA	32	1	1	6	4	Not Strong R	1	4	4	5	NA	NA	NA	NA
Pennsylvania	1	46	1	0	NA	3	Not Strong R	1	4	5	7	Agree	Agree	Disagree	NA/ND
Ohio	NA	40	1	0	8	3	Ind. Lean R	0	3	1	2	NA	NA	NA	NA
Ohio	0	62	0	0	7	3	Ind. Lean D	1	3	4	3	Strongly Agree	Agree	Strongly Disagree	Disagree
Minnesota	0	25	0	1	5	3	Indep.	0	2	3	6	Strongly Agree	Strongly Agree	NA/ND	Disagree
Illinois	1	41	1	0	9	3	Not Strong R	0	3	2	5	Agree	NA/ND	NA/ND	Agree
Ohio	1	49	1	0	8	3	Not Strong D	0	4	5	7	Strongly Agree	Strongly Disagree	NA/ND	Strongly Disagree
Ohio	0	44	0	1	10	2	Strong D	0	4	5	6	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Michigan	0	52	1	0	2	2	Not Strong D	0	2	1	5	Strongly Agree	Agree	Strongly Disagree	Strongly Disagree
Ohio	0	25	0	1	5	1	Strong D	0	1	1	1	Strongly Agree	Strongly Agree	Strongly Disagree	Disagree
Pennsylvania	NA	46	0	0	NA	NA	Indep.	1	2	NA	6	NA	NA	NA	NA
Pennsylvania	1	75	1	0	NA	5	Strong R	1	4	6	7	Disagree	Disagree	Strongly Disagree	Agree
Ohio	0	59	1	0	1	NA	NA	1	4	5	7	NA/ND	NA/ND	NA/ND	NA/ND
Pennsylvania	0	48	1	1	6	2	Not Strong D	0	2	2	5	Strongly Agree	Strongly Agree	Disagree	Strongly Disagree
Pennsylvania	1	72	1	1	10	3	Strong R	0	4	3	7	Strongly Agree	Agree	Disagree	Strongly Disagree
Michigan	0	55	0	0	6	5	Strong R	0	4	6	7	Strongly Agree	Strongly Disagree	Strongly Disagree	Strongly Agree
Pennsylvania	0	40	0	1	10	3	Ind. Lean D	0	1	1	1	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Iowa	0	31	0	1	4	2	Ind. Lean D	0	1	2	1	Strongly Agree	Strongly Agree	Disagree	Strongly Disagree
Ohio	0	43	1	0	2	3	Strong D	0	3	3	5	Strongly Agree	Strongly Disagree	NA/ND	NA/ND
Indiana	0	33	1	1	3	1	Ind. Lean D	0	4	2	7	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Illinois	0	38	1	1	11	3	Ind. Lean R	0	4	5	6	NA/ND	Disagree	Disagree	Disagree
Ohio	1	26	1	1	11	4	Strong R	0	1	1	1	NA/ND	Disagree	Strongly Disagree	Disagree
Illinois	0	26	1	1	NA	1	Ind. Lean D	0	1	1	2	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Pennsylvania	1	37	1	0	5	3	Strong R	0	3	3	3	NA/ND	Strongly Disagree	NA/ND	Strongly Disagree
Ohio	NA	43	0	0	1	3	Indep.	1	4	1	1	NA	NA	NA	NA
Pennsylvania	1	52	1	0	5	3	Not Strong D	1	4	5	5	Agree	Disagree	Agree	Agree
Indiana	1	46	1	0	2	4	Strong R	1	4	5	7	Strongly Agree	Disagree	Strongly Disagree	Agree
Iowa	0	59	0	1	9	4	Ind. Lean D	0	3	5	7	Strongly Agree	Strongly Agree	Disagree	Strongly Disagree
Ohio	0	59	1	1	4	3	Ind. Lean D	1	3	5	5	Agree	Agree	NA/ND	Strongly Disagree
Ohio	1	82	0	0	NA	4	Ind. Lean R	1	4	5	7	Agree	Disagree	Strongly Disagree	NA/ND
Wisconsin	0	67	1	0	5	4	Indep.	1	4	6	7	Strongly Agree	Agree	Strongly Disagree	Disagree
Pennsylvania	0	29	0	1	7	5	Not Strong R	0	1	2	1	Agree	Agree	Disagree	Agree
Michigan	0	64	1	1	2	2	Indep.	0	1	1	1	Strongly Agree	Agree	NA/ND	Strongly Disagree
Wisconsin	1	59	1	0	7	5	Strong R	1	4	5	6	Agree	NA/ND	Agree	Agree
Iowa	0	52	0	1	5	3	Indep.	0	1	1	1	Strongly Agree	Agree	Disagree	Disagree
Ohio	NA	67	1	0	4	3	Not Strong D	0	3	3	6	Agree	Disagree	Agree	NA/ND
Wisconsin	0	52	0	1	NA	2	Strong D	0	4	5	6	Agree	Agree	Agree	Disagree
Pennsylvania	NA	59	0	1	1	2	Not Strong D	0	1	1	1	Agree	Agree	Disagree	Disagree
Illinois	0	70	0	0	4	1	Strong D	1	4	4	5	Strongly Agree	Strongly Agree	Disagree	Agree
Iowa	NA	48	1	1	NA	4	Indep.	0	4	5	6	NA/ND	Strongly Disagree	NA/ND	Disagree
Ohio	0	75	1	1	NA	2	Strong D	0	1	1	1	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Michigan	1	65	0	0	6	4	Indep.	1	4	5	7	Agree	Strongly Disagree	Strongly Disagree	Strongly Agree
Illinois	0	67	0	0	6	2	Ind. Lean D	0	1	1	1	Strongly Agree	Strongly Agree	NA/ND	Strongly Disagree
Pennsylvania	1	58	0	0	5	3	Not Strong R	1	4	2	7	Disagree	Strongly Disagree	Agree	Disagree
Illinois	1	75	0	0	2	3	Not Strong D	0	3	2	5	NA/ND	Strongly Disagree	Agree	Disagree
Ohio	0	57	0	1	9	3	Ind. Lean D	0	2	5	4	Agree	Agree	Strongly Disagree	Disagree
Ohio	0	48	0	0	7	NA	Not Strong D	0	3	2	5	Agree	Agree	Disagree	Disagree
Ohio	0	75	0	1	7	3	Strong D	0	4	6	7	Strongly Agree	Agree	Disagree	Disagree
Illinois	0	80	1	0	8	3	Not Strong D	0	3	4	2	Strongly Agree	Agree	Strongly Disagree	Strongly Disagree
Illinois	0	76	0	1	10	3	Strong D	0	3	5	3	Agree	Agree	Disagree	Disagree
Ohio	1	56	0	1	NA	4	Indep.	0	3	1	5	Disagree	NA/ND	Strongly Disagree	Disagree
